person_id,name,title,company,person_location,company_hq,email,linkedin,title_clean,relevant,job_title,keywords,year,funding_stage,recent_research,rule_score,senior_role,funded_company,hub_location,ml_probability,ml_score,final_score,rank
1,Emily Carter,Director of Toxicology,NeuroGenix,Boston,Cambridge,emily@neurogenix.com,linkedin.com/in/emilycarter,director of toxicology,True,Drug-Induced Liver Injury Prediction Using In Vitro Systems,DILI;toxicology;in-vitro,2024,Series B,1,100,0,1,1,0.9958154736700601,99.58,99.79,1
2,Rajiv Menon,Senior Scientist Toxicology,HepaLife Sciences,San Diego,San Diego,rajiv@hepalife.com,linkedin.com/in/rajivmenon,senior scientist toxicology,True,Hepatic Spheroids for Safety Assessment,hepatic;toxicity;3D models,2023,Series A,1,100,0,1,1,0.9958154736700601,99.58,99.79,2
3,Anna Muller,Head of Preclinical Safety,BioNova AG,Basel,Basel,anna@bionova.com,linkedin.com/in/annamuller,head of preclinical safety,True,New Approach Methodologies in Preclinical Safety,NAMs;preclinical;safety,2024,Series C,1,100,0,1,1,0.9958154736700601,99.58,99.79,3
4,Laura Chen,VP Safety Assessment,LiverTech Inc,Cambridge,Cambridge,laura@livertech.com,linkedin.com/in/laurachen,vp safety assessment,True,Translational Safety Assessment Using 3D Liver Models,3D liver;toxicology,2023,Series B,1,100,0,1,1,0.9958154736700601,99.58,99.79,4
5,Mark Thompson,Director Safety Pharmacology,HepatoWorks,Boston,Boston,mark@hepatoworks.com,linkedin.com/in/markthompson,director safety pharmacology,True,Advances in Safety Pharmacology for Liver Toxicity,safety pharmacology;DILI,2024,Series B,1,100,0,1,1,0.9958154736700601,99.58,99.79,5
6,Sofia Rossi,Principal Scientist Toxicology,BioAdvance,San Diego,San Diego,sofia@bioadvance.com,linkedin.com/in/sofiarossi,principal scientist toxicology,True,In Vitro Platforms for Predicting Hepatic Risk,in-vitro;hepatic risk,2024,Series A,1,100,0,1,1,0.9958154736700601,99.58,99.79,6
14,Olivia Brown,Head of Investigative Toxicology,TheraLabs,Boston,Boston,olivia@theralabs.com,linkedin.com/in/oliviabrown,head of investigative toxicology,True,Investigative Toxicology Trends in Drug Discovery,investigative toxicology,2024,Series B,1,100,0,1,1,0.9958154736700601,99.58,99.79,7
12,Helena Fischer,Director Safety Sciences,BioCore AG,Basel,Basel,helena@biocore.com,linkedin.com/in/helenafischer,director safety sciences,True,Preclinical Safety Evaluation Strategies,preclinical safety;toxicology,2024,Series C,1,100,0,1,1,0.9958154736700601,99.58,99.79,8
29,Kevin ONeill,VP Drug Safety,BioHep Solutions,Cambridge,Cambridge,kevin@biohep.com,linkedin.com/in/kevinoneill,vp drug safety,True,Innovations in Drug Safety Sciences,drug safety;innovation,2023,Series C,1,100,0,1,1,0.9958154736700601,99.58,99.79,9
30,Jonathan Reed,Senior Scientist Toxicology,HepatoRx,San Diego,San Diego,jonathan@hepatorx.com,linkedin.com/in/jonathanreed,senior scientist toxicology,True,Integrated Toxicology Platforms for Liver Safety,integrated platforms;liver safety,2024,Series A,1,100,0,1,1,0.9958154736700601,99.58,99.79,10
34,David Miller,Director Investigative Toxicology,HepatoDynamics,Boston,Boston,david@hepatodynamics.com,linkedin.com/in/davidmiller,director investigative toxicology,True,Investigative Toxicology in Translational Medicine,investigative toxicology;translation,2024,Series B,1,100,0,1,1,0.9958154736700601,99.58,99.79,11
46,Eric Johnson,Senior Director Preclinical Safety,HepatoLogic,Cambridge,Cambridge,eric@hepatologic.com,linkedin.com/in/ericjohnson,senior director preclinical safety,True,Innovations in Preclinical Safety Sciences,preclinical safety;innovation,2024,Series C,1,100,0,1,1,0.9958154736700601,99.58,99.79,12
22,Robert Green,Senior Director Safety Sciences,MedHep,Boston,Boston,robert@medhep.com,linkedin.com/in/robertgreen,senior director safety sciences,True,Drug-Induced Liver Injury Mechanisms,DILI;mechanisms,2024,Series B,1,100,0,1,1,0.9958154736700601,99.58,99.79,13
19,Sarah Wilson,VP Safety & Risk Assessment,LiverSafe,Cambridge,Cambridge,sarah@liversafe.com,linkedin.com/in/sarahwilson,vp safety & risk assessment,True,Integrated Safety Assessment Pipelines,integrated safety;drug development,2023,Series C,1,100,0,1,1,0.9958154736700601,99.58,99.79,14
8,Claire Dubois,Director Preclinical Research,NeoThera,Paris,Paris,claire@neothera.com,linkedin.com/in/clairedubois,director preclinical research,True,Preclinical Liver Safety Models Using NAMs,preclinical;safety;NAMs,2024,Series A,1,90,0,1,0,0.9972281416974405,99.72,94.86,15
7,Amit Sharma,Head of Translational Safety,GenomicX,Bangalore,Boston,amit@genomicx.com,linkedin.com/in/amitsharma,head of translational safety,True,Translational Toxicology in Drug Development,translational toxicology;drug safety,2023,Series C,1,90,0,1,0,0.9972281416974405,99.72,94.86,16
48,Omar Farooq,Associate Director Safety,BioLiverX,Karachi,Boston,omar@bioliverx.com,linkedin.com/in/omarfarooq,associate director safety,True,Integrated Risk Models for Liver Toxicity,integrated risk;liver toxicity,2024,Series A,1,90,0,1,0,0.9972281416974405,99.72,94.86,17
43,Neha Joshi,Senior Scientist Safety,HepaInsights,Hyderabad,Boston,neha@hepainsights.com,linkedin.com/in/nehajoshi,senior scientist safety,True,In Vitro Toxicology for Regulatory Submissions,regulatory submissions;in-vitro,2023,Series A,1,90,0,1,0,0.9972281416974405,99.72,94.86,18
16,Daniel Kim,Director Drug Safety,HepatoCare,Bay Area,Bay Area,daniel@hepatocare.com,linkedin.com/in/danielkim,director drug safety,True,Drug Safety Decision-Making Frameworks,drug safety;decision science,2024,Series B,1,90,0,1,0,0.9972281416974405,99.72,94.86,19
15,Wei Zhang,Associate Director Toxicology,PharmaZen,Shanghai,Shanghai,wei@pharmazen.com,linkedin.com/in/weizhang,associate director toxicology,True,Organ-on-Chip Technologies for Safety Testing,organ-on-chip;in-vitro,2023,Series C,1,90,0,1,0,0.9972281416974405,99.72,94.86,20
9,Michael Lee,Senior Director Toxicology,HepatoGen,Bay Area,Bay Area,michael@hepatogen.com,linkedin.com/in/michaellee,senior director toxicology,True,Mechanistic Toxicology Approaches for Liver Injury,mechanistic toxicology;liver injury,2023,Series C,1,90,0,1,0,0.9972281416974405,99.72,94.86,21
13,Carlos Mendes,Senior Scientist Hepatic Models,HepaNext,Sao Paulo,Boston,carlos@hepanext.com,linkedin.com/in/carlosmendes,senior scientist hepatic models,True,Hepatic Safety Models in Translational Research,hepatic safety;translational,2023,Series A,1,90,0,1,0,0.9972281416974405,99.72,94.86,22
24,James Collins,Director Translational Toxicology,OncoLiver,Bay Area,Bay Area,james@oncoliver.com,linkedin.com/in/jamescollins,director translational toxicology,True,In Vitro-In Vivo Correlation in Liver Safety,IVIVC;liver safety,2024,Series C,1,90,0,1,0,0.9972281416974405,99.72,94.86,23
